"testCaseID","featureName","type","description","isDeploymentTest"
"TCXM_2463","dhcp-server","boundary","Test priority parameter with min constraint","false"
"TCXM_2464","dhcp-server","boundary","Test priority parameter with max constraint","false"
"TCXM_2465","dhcp-server","boundary","Test name parameter with maxLength constraint","false"
"TCXM_2392","dhcp-server","functional","Create a dhcp-server and verify it exists","false"
"TCXM_2393","dhcp-server","functional","Create and delete a dhcp-server (independent test)","false"
"TCXM_2394","dhcp-server","functional","Idempotent create test for dhcp-server (creating same resource twice)","false"
"TCXM_2395","dhcp-server","functional","Create dhcp-server, scope to device, target to device, deploy, and verify on NOS devices","true"
"TCXM_2396","dhcp-server","functional","Create dhcp-server and verify configuration on NOS devices (without explicit scope/target/deploy)","true"
"TCXM_2397","dhcp-server","functional","Create dhcp-server with valid value variation 1 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_2398","dhcp-server","functional","Create dhcp-server with valid value variation 1 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_2399","dhcp-server","functional","Create dhcp-server with valid value variation 2 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_2400","dhcp-server","functional","Create dhcp-server with valid value variation 2 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_2401","dhcp-server","functional","Create dhcp-server with valid value variation 3 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_2402","dhcp-server","functional","Create dhcp-server with valid value variation 3 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_2403","dhcp-server","functional","Create dhcp-server with valid value variation 4 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_2404","dhcp-server","functional","Create dhcp-server with valid value variation 4 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_2405","dhcp-server","functional","Create dhcp-server with valid value variation 5 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_2406","dhcp-server","functional","Create dhcp-server with valid value variation 5 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_2407","dhcp-server","functional","Create dhcp-server with valid value variation 1 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_2408","dhcp-server","functional","Create dhcp-server with valid value variation 1 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_2409","dhcp-server","functional","Create dhcp-server with valid value variation 2 for required param 'server', scope to device, target to device, deploy and verify","true"
