"testCaseID","featureName","type","description","isDeploymentTest"
"TCXM_1071","dhcp-server","boundary","Test server parameter with minLength constraint","false"
"TCXM_1072","dhcp-server","boundary","Test server parameter with maxLength constraint","false"
"TCXM_1073","dhcp-server","boundary","Test name parameter with maxLength constraint","false"
"TCXM_1000","dhcp-server","functional","Create a dhcp-server and verify it exists","false"
"TCXM_1001","dhcp-server","functional","Create and delete a dhcp-server (independent test)","false"
"TCXM_1002","dhcp-server","functional","Idempotent create test for dhcp-server (creating same resource twice)","false"
"TCXM_1003","dhcp-server","functional","Create dhcp-server, scope to device, target to device, deploy, and verify on NOS devices","true"
"TCXM_1004","dhcp-server","functional","Create dhcp-server and verify configuration on NOS devices (without explicit scope/target/deploy)","true"
"TCXM_1005","dhcp-server","functional","Create dhcp-server with valid value variation 1 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1006","dhcp-server","functional","Create dhcp-server with valid value variation 1 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1007","dhcp-server","functional","Create dhcp-server with valid value variation 2 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1008","dhcp-server","functional","Create dhcp-server with valid value variation 2 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1009","dhcp-server","functional","Create dhcp-server with valid value variation 3 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1010","dhcp-server","functional","Create dhcp-server with valid value variation 3 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1011","dhcp-server","functional","Create dhcp-server with valid value variation 4 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1012","dhcp-server","functional","Create dhcp-server with valid value variation 4 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1013","dhcp-server","functional","Create dhcp-server with valid value variation 5 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1014","dhcp-server","functional","Create dhcp-server with valid value variation 5 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1015","dhcp-server","functional","Create dhcp-server with valid value variation 1 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1016","dhcp-server","functional","Create dhcp-server with valid value variation 1 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1017","dhcp-server","functional","Create dhcp-server with valid value variation 2 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1018","dhcp-server","functional","Create dhcp-server with valid value variation 2 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1019","dhcp-server","functional","Create dhcp-server with valid value variation 3 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1020","dhcp-server","functional","Create dhcp-server with valid value variation 3 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1021","dhcp-server","functional","Create dhcp-server with valid value variation 4 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1022","dhcp-server","functional","Create dhcp-server with valid value variation 4 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1023","dhcp-server","functional","Create dhcp-server with valid value variation 5 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1024","dhcp-server","functional","Create dhcp-server with valid value variation 5 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1025","dhcp-server","functional","Deploy and verify dhcp-server with 0 optional parameters (variation 1), scope to device, target to device","true"
