TestCaseID,FeatureName,Description,IsDeploymentTest
"TCXM_1622","dns-server","Test priority parameter with min constraint","false"
"TCXM_1623","dns-server","Test priority parameter with max constraint","false"
"TCXM_1624","dns-server","Test vr-name parameter with minLength constraint","false"
"TCXM_1625","dns-server","Test vr-name parameter with maxLength constraint","false"
"TCXM_1547","dns-server","Create a dns-server and verify it exists","false"
"TCXM_1548","dns-server","Create and delete a dns-server (independent test)","false"
"TCXM_1549","dns-server","Idempotent create test for dns-server (creating same resource twice)","false"
"TCXM_1550","dns-server","Create dns-server, scope to device, target to device, deploy, and verify on NOS devices","true"
"TCXM_1551","dns-server","Create dns-server and verify configuration on NOS devices (without explicit scope/target/deploy)","true"
"TCXM_1552","dns-server/dns-suffix","Create a dns-suffix (sub-object type: dns-server) and verify it exists","false"
"TCXM_1553","dns-server/dns-suffix","Create, update, and verify dns-suffix (sub-object type)","false"
"TCXM_1554","dns-server/dns-suffix","Create and delete dns-suffix (sub-object type)","false"
"TCXM_1555","dns-server","Create dns-server with valid value variation 1 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1556","dns-server","Create dns-server with valid value variation 1 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1557","dns-server","Create dns-server with valid value variation 2 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1558","dns-server","Create dns-server with valid value variation 2 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1559","dns-server","Create dns-server with valid value variation 3 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1560","dns-server","Create dns-server with valid value variation 3 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1561","dns-server","Create dns-server with valid value variation 4 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1562","dns-server","Create dns-server with valid value variation 4 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1563","dns-server","Create dns-server with valid value variation 5 for required param 'priority', scope to device, target to device, deploy and verify","true"
"TCXM_1564","dns-server","Create dns-server with valid value variation 5 for required param 'priority', scope to site, target to site, deploy and verify","true"
"TCXM_1565","dns-server","Create dns-server with valid value variation 1 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1566","dns-server","Create dns-server with valid value variation 1 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1567","dns-server","Create dns-server with valid value variation 2 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1568","dns-server","Create dns-server with valid value variation 2 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1569","dns-server","Create dns-server with valid value variation 3 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1570","dns-server","Create dns-server with valid value variation 3 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1571","dns-server","Create dns-server with valid value variation 4 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1572","dns-server","Create dns-server with valid value variation 4 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1573","dns-server","Create dns-server with valid value variation 5 for required param 'server', scope to device, target to device, deploy and verify","true"
"TCXM_1574","dns-server","Create dns-server with valid value variation 5 for required param 'server', scope to site, target to site, deploy and verify","true"
"TCXM_1575","dns-server","Deploy and verify dns-server with 0 optional parameters (variation 1), scope to device, target to device","true"
"TCXM_1576","dns-server","Deploy and verify dns-server with 0 optional parameters (variation 1), scope to site, target to site","true"
"TCXM_1577","dns-server","Deploy and verify dns-server with 0 optional parameters (variation 2), scope to device, target to device","true"
